,day,description,rooms,m2,bathrooms,price,links
124,2023-12-29,"3-room flat via Cadore, 8, Cadore, Milan",3,79m²,1,"€ 530,000",https://www.immobiliare.it/en/annunci/107439203/
125,2023-12-29,"2-room flat via Lodovico Muratori 54, Porta Romana - Medaglie d'Oro, Milan",2,54m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/107395663/
126,2023-12-29,"3-room flat via Augusto Anfossi, Montenero, Milan",3,120m²,1,"€ 748,000",https://www.immobiliare.it/en/annunci/108245753/
127,2023-12-29,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/107399771/
128,2023-12-29,"4-room flat via Giuseppe Ripamonti 2, Bocconi, Milan",4,110m²,2,"€ 870,000",https://www.immobiliare.it/en/annunci/107360605/
129,2023-12-29,"2-room flat via ANTONIO FOGAZZARO  35, Cadore, Milan",2,46m²,1,"€ 330,000",https://www.immobiliare.it/en/annunci/107346633/
130,2023-12-29,"2-room flat viale Monte Nero 56, Montenero, Milan",2,58m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/107315989/
131,2023-12-29,"3-room flat viale Sabotino, Porta Romana - Medaglie d'Oro, Milan",3,100m²,1,"€ 595,000",https://www.immobiliare.it/en/annunci/108183399/
132,2023-12-29,"3-room flat viale Monte Nero 58, Montenero, Milan",3,100m²,2,"€ 620,000",https://www.immobiliare.it/en/annunci/107279253/
133,2023-12-29,"Apartment viale Umbria 52, Martini - Insubria, Milan",5+,178m²,3,"€ 1,090,000",https://www.immobiliare.it/en/annunci/107269675/
134,2023-12-29,"Studio viale Umbria 60, Martini - Insubria, Milan",1,25m²,1,"€ 229,000",https://www.immobiliare.it/en/annunci/107268995/
135,2023-12-29,"4-room flat viale Sabotino 6, Porta Romana - Medaglie d'Oro, Milan",4,160m²,2,"€ 1,600,000",https://www.immobiliare.it/en/annunci/107287737/
136,2023-12-29,"4-room flat excellent condition, second floor, Porta Romana - Medaglie d'Oro, Milan",4,150m²,2,"€ 860,000",https://www.immobiliare.it/en/annunci/107280417/
137,2023-12-29,"Loft viale Regina Margherita, Montenero, Milan",2,50m²,1,"€ 390,000",https://www.immobiliare.it/en/annunci/108330883/
138,2023-12-29,"4-room flat excellent condition, second floor, Porta Romana - Medaglie d'Oro, Milan",4,150m²,2,"€ 850,000",https://www.immobiliare.it/en/annunci/107280425/
139,2023-12-29,"Studio viale Umbria 60, Martini - Insubria, Milan",1,25m²,1,"€ 229,000",https://www.immobiliare.it/en/annunci/107283151/
140,2023-12-29,"2-room flat via Andrea Maffei 20, Montenero, Milan",2,74m²,1,"€ 400,000",https://www.immobiliare.it/en/annunci/107246329/
141,2023-12-29,"Apartment via Presolana 8, Montenero, Milan",5+,153m²,3,"€ 1,350,000",https://www.immobiliare.it/en/annunci/107254251/
142,2023-12-29,"4-room flat viale Cirene 18, Porta Romana - Medaglie d'Oro, Milan",4,163m²,2,"€ 1,438,000",https://www.immobiliare.it/en/annunci/107257385/
143,2023-12-29,"3-room flat viale Regina Margherita 33, Guastalla, Milan",3,103m²,1,"€ 680,000",https://www.immobiliare.it/en/annunci/107252161/
144,2023-12-29,"Studio viale Umbria 60, Martini - Insubria, Milan",1,30m²,1,"€ 229,000",https://www.immobiliare.it/en/annunci/107258303/
145,2023-12-29,"Studio viale Umbria, 60, Martini - Insubria, Milan",1,25m²,1,"€ 229,000",https://www.immobiliare.it/en/annunci/108258821/
146,2023-12-29,"Single family villa via Angelo Maj 8, Cadore, Milan",,,,Price on application,https://www.immobiliare.it/en/annunci/107243385/
147,2023-12-29,New construction Apartments in Milan,1 - 2,52m²,6,"from € 329,000",https://www.immobiliare.it/en/annunci/107210513/
148,2023-12-29,"3-room flat via Bezzecca 9, Montenero, Milan",3,96m²,1,"€ 565,000",https://www.immobiliare.it/en/annunci/107225603/
149,2023-12-29,"2-room flat viale Emilio Caldara 6, Porta Romana - Medaglie d'Oro, Milan",2,55m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/107260543/
150,2023-12-29,"2-room flat viale Emilio Caldara 6, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/107260541/
151,2023-12-29,"Apartment good condition, second floor, Montenero, Milan",5+,160m²,3,"€ 1,279,000",https://www.immobiliare.it/en/annunci/108207511/
152,2023-12-29,"Penthouse via Perugino 20, Cadore, Milan",4,125m²,2,"€ 850,000",https://www.immobiliare.it/en/annunci/107176561/
153,2023-12-29,"Loft viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",1,123m²,1,"€ 169,000",https://www.immobiliare.it/en/annunci/107184709/
154,2023-12-29,"2-room flat viale Cirene, Porta Romana - Medaglie d'Oro, Milan",2,62m²,1,"€ 338,000",https://www.immobiliare.it/en/annunci/107184829/
155,2023-12-29,"4-room flat via Presolana, Montenero, Milan",4,115m²,2,"€ 795,000",https://www.immobiliare.it/en/annunci/107183235/
156,2023-12-29,"2-room flat viale Monte Nero, Montenero, Milan",2,75m²,1,"€ 620,000",https://www.immobiliare.it/en/annunci/107178981/
157,2023-12-29,"2-room flat via Friuli, Cadore, Milan",2,70m²,1,"€ 430,000",https://www.immobiliare.it/en/annunci/107187893/
158,2023-12-29,"3-room flat viale Emilio Caldara, Porta Romana - Medaglie d'Oro, Milan",3,110m²,1,"€ 790,000",https://www.immobiliare.it/en/annunci/107188623/
159,2023-12-29,"3-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",3,86m²,1,"€ 459,000€ 490,000(-6.3%)",https://www.immobiliare.it/en/annunci/107965665/
160,2023-12-29,"Loft via Amatore Antonio Sciesa 21, Montenero, Milan",2,45m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/107832779/
